Airline,Callsign,Name,Country code
MLA,MILE AIR,40-Mile Air,USA
MLD,AIR MOLDOVA,Air Moldova,MDA
MLR,MIHIN LANKA,Mihin Lanka,LKA
MLT,MALETH,Maleth Aero,MLT
MMA,MYANMAR,Myanmar Airways International,MMR
MMD,MERMAID,Alsie Express,DNK
MNA,MERPATI,Merpati Nusantara Airlines,IDN
MNB,BLACK SEA,MNG Airlines,TUR
MNO,TULCA,Mango,ZAF
MNU,MAINER,Elite Airways,USA
MPE,EMPRESS,Canadian North,CAN
MPH,MARTIN AIR,Martinair Holland,NLD
MRA,MAR TEX,Martinaire,USA
MRK,MARKAIR,Markair,USA
MSC,AIR CAIRO,Air Cairo,EGY
MSI,MOTOR SICH,Motor Sich,UKR
MSL,MARSLANDAIR,Marsland Aviation,SDN
MSR,EGYPT AIR,Egyptair,EGY
MSS,WASATCH,Morris Air,USA
MSX,EGYPT AIR CARGO,Egypt Air Cargo,EGY
MTN,MOUNTAIN,Mountain Air Cargo,USA
MUI,TRANSAIR,TransAir,USA
MWI,MALAWIAN,Malawian Airlines,MWI
MXD,MALINDO,Malindo Air,MYS
MXJ,MAX JET,MAXjet Airways,USA
MXY,MOXY,Breeze Airways,USA
MYI,MAYAIR,Mayair,MEX
MYU,MY INDO,My Indo Airlines,IDN
MZA,AZAMAT,Irtysh Air,KAZ
NAC,YUKON,Northern Air Cargo,USA
NAS,NASAIRWAYS,Nasair,ERI
NAX,NOR SHUTTLE,Norwegian Air Shuttle,NOR
NAY,NAYSA,NAYSAIR,ESP
NCA,NIPPON CARGO,Nippon Cargo Airlines,JPN
NCB,NORTH CARIBOO,North Cariboo Air,CAN
NCR,NATIONAL CARGO,National Air Cargo,USA
NEA,NEW ENGLAND,New England Airlines,USA
NET,NOVA,Avianova,BLR
NHG,HELGA,NHT Lineas Aereas,BRA
NIG,AEROLINE,Aero Contractors Nigeria,NGA
NKF,NORDFLIGHT,Barents AirLink,SWE
NKS,SPIRIT WINGS,Spirit Airlines,USA
NLA,PENINSULA,PenAir,USA
